input_sentence,annotations
Remind me at 5 in the morning for morning workout,"{""entities"": [(13, 29, ""time""), (34, 49, ""label"")]}"
Scrap the call with mom alarm at 14:00,"{""entities"": [(33, 38, ""time""), (10, 23, ""label"")]}"
Volume 75%,"{""entities"": [(7, 10, ""percent_of_total"")]}"
Alarm for in 30 minutes with note yoga,"{""entities"": [(10, 23, ""time""), (34, 38, ""label"")]}"
Remove alarm call with mom at midnight,"{""entities"": [(30, 38, ""time""), (13, 26, ""label"")]}"
Play Rolling in the Deep by Taylor Swift,"{""entities"": [(5, 24, ""song""), (28, 40, ""artist"")]}"
Volume 10,"{""entities"": [(7, 9, ""percent_of_total"")]}"
Remind me at at 5 PM for birthday,"{""entities"": [(13, 20, ""time""), (25, 33, ""label"")]}"
Queue up Bad Guy,"{""entities"": [(9, 16, ""song"")]}"
Remind me at next Monday at 6 for meeting,"{""entities"": [(13, 29, ""time""), (34, 41, ""label"")]}"
Turn off my morning workout reminder at 5 in the morning,"{""entities"": [(40, 56, ""time""), (12, 27, ""label"")]}"
"Hey, play Uptown Funk","{""entities"": [(10, 21, ""song"")]}"
Set my alarm at 14:00 - call it doctor appointment,"{""entities"": [(16, 21, ""time""), (32, 50, ""label"")]}"
Get rid of the alarm set for 5 in the morning,"{""entities"": [(29, 45, ""time"")]}"
"Hey, play Let It Go","{""entities"": [(10, 19, ""song"")]}"
Wake me up at 7:00 AM for project deadline,"{""entities"": [(14, 21, ""time""), (26, 42, ""label"")]}"
Please change the volume to 30%,"{""entities"": [(28, 31, ""percent_of_total"")]}"
Put an alarm for meeting at at 5 PM,"{""entities"": [(28, 35, ""time""), (17, 24, ""label"")]}"
Remove alarm yoga at 10:15 PM,"{""entities"": [(21, 29, ""time""), (13, 17, ""label"")]}"
I'd like to hear Bad Guy from Guns N' Roses,"{""entities"": [(17, 24, ""song""), (30, 43, ""artist"")]}"
Increase the volume to mute,"{""entities"": [(23, 27, ""percent_of_total"")]}"
Set my alarm at 10:15 PM - call it call with mom,"{""entities"": [(16, 24, ""time""), (35, 48, ""label"")]}"
Turn on the track Bad Guy,"{""entities"": [(18, 25, ""song"")]}"
Wake me up at 6:30 for birthday,"{""entities"": [(14, 18, ""time""), (23, 31, ""label"")]}"
Turn off my birthday reminder at 10:15 PM,"{""entities"": [(33, 41, ""time""), (12, 20, ""label"")]}"
I'd like to hear Smells Like Teen Spirit from The Beatles,"{""entities"": [(17, 40, ""song""), (46, 57, ""artist"")]}"
Set an alarm for 5 in the morning labeled call with mom,"{""entities"": [(17, 33, ""time""), (42, 55, ""label"")]}"
Don't wake me up for yoga,"{""entities"": [(21, 25, ""label"")]}"
Can you put on Stairway to Heaven?,"{""entities"": [(15, 33, ""song"")]}"
Make it 30%,"{""entities"": [(8, 11, ""percent_of_total"")]}"
Put an alarm for yoga at 6:30,"{""entities"": [(25, 29, ""time""), (17, 21, ""label"")]}"
Cancel my alarm for tomorrow 5 AM called yoga,"{""entities"": [(20, 33, ""time""), (41, 45, ""label"")]}"
Play Viva La Vida by Beyoncé,"{""entities"": [(5, 17, ""song""), (21, 28, ""artist"")]}"
Play Poker Face by Post Malone,"{""entities"": [(5, 15, ""song""), (19, 30, ""artist"")]}"
Play Hey Jude by Kendrick Lamar,"{""entities"": [(5, 13, ""song""), (17, 31, ""artist"")]}"
Play Bad Romance by Nicki Minaj,"{""entities"": [(5, 16, ""song""), (20, 31, ""artist"")]}"
Play My Heart Will Go On by Pharrell Williams,"{""entities"": [(5, 24, ""song""), (28, 45, ""artist"")]}"
Play Titanium by The White Stripes,"{""entities"": [(5, 13, ""song""), (17, 34, ""artist"")]}"
Play Wrecking Ball by Ariana Grande,"{""entities"": [(5, 18, ""song""), (22, 35, ""artist"")]}"
Play I Gotta Feeling by Lil Nas X,"{""entities"": [(5, 20, ""song""), (24, 33, ""artist"")]}"
Play Call Me Maybe by Leona Lewis,"{""entities"": [(5, 18, ""song""), (22, 33, ""artist"")]}"
Play All About That Bass by Selena Gomez,"{""entities"": [(5, 24, ""song""), (28, 40, ""artist"")]}"
Play Halo by Imagine Dragons,"{""entities"": [(5, 9, ""song""), (13, 28, ""artist"")]}"
Play Boogie Wonderland by Alicia Keys,"{""entities"": [(5, 22, ""song""), (26, 37, ""artist"")]}"
Play The Lazy Song by Carly Rae Jepsen,"{""entities"": [(5, 18, ""song""), (22, 38, ""artist"")]}"
Play Grenade by Miley Cyrus,"{""entities"": [(5, 12, ""song""), (16, 27, ""artist"")]}"
Play Demons by Maroon 5,"{""entities"": [(5, 11, ""song""), (15, 23, ""artist"")]}"
Play Stay With Me by Justin Timberlake,"{""entities"": [(5, 17, ""song""), (21, 38, ""artist"")]}"
Play With or Without You by Shakira,"{""entities"": [(5, 24, ""song""), (28, 35, ""artist"")]}"
Play Let Her Go by Sam Smith,"{""entities"": [(5, 15, ""song""), (19, 28, ""artist"")]}"
Play Shallow by Avicii,"{""entities"": [(5, 12, ""song""), (16, 22, ""artist"")]}"
Play Uptown Girl by Passenger,"{""entities"": [(5, 16, ""song""), (20, 29, ""artist"")]}"
Play Radioactive by Ed Sheeran,"{""entities"": [(5, 16, ""song""), (20, 30, ""artist"")]}"
Play Rolling in the Deep by Demi Lovato,"{""entities"": [(5, 24, ""song""), (28, 39, ""artist"")]}"
Play Counting Stars by Katy Perry,"{""entities"": [(5, 19, ""song""), (23, 33, ""artist"")]}"
Play Shape of You by Adele,"{""entities"": [(5, 17, ""song""), (21, 26, ""artist"")]}"
Play Old Town Road by Whitney Houston,"{""entities"": [(5, 18, ""song""), (22, 37, ""artist"")]}"
Play Sugar by Rihanna,"{""entities"": [(5, 10, ""song""), (14, 21, ""artist"")]}"
Play Take On Me by Bruno Mars,"{""entities"": [(5, 15, ""song""), (19, 29, ""artist"")]}"
Play Toxic by Meghan Trainor,"{""entities"": [(5, 10, ""song""), (14, 28, ""artist"")]}"
Play Just the Way You Are by Gotye,"{""entities"": [(5, 25, ""song""), (29, 34, ""artist"")]}"
Play Animals by Billy Joel,"{""entities"": [(5, 12, ""song""), (16, 26, ""artist"")]}"
Play Thinking Out Loud by David Guetta,"{""entities"": [(5, 22, ""song""), (26, 38, ""artist"")]}"
Play Skyscraper by Sia,"{""entities"": [(5, 15, ""song""), (19, 22, ""artist"")]}"
Play Somebody That I Used to Know by Justin Bieber,"{""entities"": [(5, 33, ""song""), (37, 50, ""artist"")]}"
Play Firework by OneRepublic,"{""entities"": [(5, 13, ""song""), (17, 28, ""artist"")]}"
Play No Tears Left to Cry by Britney Spears,"{""entities"": [(5, 25, ""song""), (29, 43, ""artist"")]}"
Play Rockstar by Drake,"{""entities"": [(5, 13, ""song""), (17, 22, ""artist"")]}"
Play Humble by Eminem,"{""entities"": [(5, 11, ""song""), (15, 21, ""artist"")]}"
Play Bleeding Love by The Black Eyed Peas,"{""entities"": [(5, 18, ""song""), (22, 41, ""artist"")]}"
Play I Will Always Love You by The Killers,"{""entities"": [(5, 27, ""song""), (31, 42, ""artist"")]}"
Play Chandelier by Taylor Swift,"{""entities"": [(5, 15, ""song""), (19, 31, ""artist"")]}"
Play Can't Stop the Feeling by The Beatles,"{""entities"": [(5, 27, ""song""), (31, 42, ""artist"")]}"
Play Believer by Lady Gaga,"{""entities"": [(5, 13, ""song""), (17, 26, ""artist"")]}"
Play Born This Way by Green Day,"{""entities"": [(5, 18, ""song""), (22, 31, ""artist"")]}"
Play This Love by Lorde,"{""entities"": [(5, 14, ""song""), (18, 23, ""artist"")]}"
Play Love Yourself by Coldplay,"{""entities"": [(5, 18, ""song""), (22, 30, ""artist"")]}"
Play Boulevard of Broken Dreams by a-ha,"{""entities"": [(5, 31, ""song""), (35, 39, ""artist"")]}"
Play Happy by Céline Dion,"{""entities"": [(5, 10, ""song""), (14, 25, ""artist"")]}"
Play Seven Nation Army by Bon Jovi,"{""entities"": [(5, 22, ""song""), (26, 34, ""artist"")]}"
Play The Scientist by U2,"{""entities"": [(5, 18, ""song""), (22, 24, ""artist"")]}"
